site,source,season,Mean,SD,2.50%,25%,50%,75%,97.50%
RB10,green,dry19,0.981,0.017,0.935,0.974,0.987,0.994,1
RB10,brown,dry19,0.019,0.017,0,0.006,0.013,0.026,0.065
RB10,green,wet19,0.975,0.025,0.909,0.963,0.984,0.995,1
RB10,brown,wet19,0.025,0.025,0,0.005,0.016,0.037,0.091
SRS4,green,dry19,0.718,0.096,0.556,0.649,0.708,0.778,0.933
SRS4,brown,dry19,0.282,0.096,0.067,0.222,0.292,0.351,0.444
SRS4,green,wet19,0.699,0.099,0.553,0.628,0.68,0.753,0.947
SRS4,brown,wet19,0.301,0.099,0.053,0.247,0.32,0.372,0.447
SRS6,green,dry19,0.533,0.051,0.427,0.501,0.534,0.567,0.629
SRS6,brown,dry19,0.467,0.051,0.371,0.433,0.466,0.499,0.573
SRS6,green,wet19,0.152,0.058,0.043,0.113,0.151,0.192,0.267
SRS6,brown,wet19,0.848,0.058,0.733,0.808,0.849,0.887,0.957
SRS3,green,dry19,0.617,0.095,0.438,0.554,0.615,0.68,0.804
SRS3,brown,dry19,0.383,0.095,0.196,0.32,0.385,0.446,0.562
SRS3,green,wet19,0.75,0.102,0.549,0.677,0.752,0.823,0.941
SRS3,brown,wet19,0.25,0.102,0.059,0.177,0.248,0.323,0.451
