source,site,season,Mean,SD,2.50%,25%,50%,75%,97.50%
green,TS10,dry19,0.386,0.077,0.244,0.333,0.381,0.436,0.546
brown,TS10,dry19,0.614,0.077,0.454,0.564,0.619,0.667,0.756
green,TS11,dry19,0.737,0.098,0.534,0.671,0.742,0.809,0.913
brown,TS11,dry19,0.263,0.098,0.087,0.191,0.258,0.329,0.466
green,TS7,dry19,0.779,0.086,0.613,0.721,0.776,0.837,0.948
brown,TS7,dry19,0.221,0.086,0.052,0.163,0.224,0.279,0.387
green,TS9,dry19,0.89,0.061,0.743,0.855,0.901,0.935,0.978
brown,TS9,dry19,0.11,0.061,0.022,0.065,0.099,0.145,0.257
green,TS10,wet19,0.26,0.057,0.16,0.218,0.257,0.296,0.381
brown,TS10,wet19,0.74,0.057,0.619,0.704,0.743,0.782,0.84
green,TS11,wet19,0.623,0.085,0.462,0.565,0.621,0.677,0.792
brown,TS11,wet19,0.377,0.085,0.208,0.323,0.379,0.435,0.538
green,TS7,wet19,0.598,0.131,0.434,0.516,0.566,0.625,0.951
brown,TS7,wet19,0.402,0.131,0.049,0.375,0.434,0.484,0.566
green,TS9,wet19,0.819,0.077,0.648,0.77,0.826,0.875,0.95
brown,TS9,wet19,0.181,0.077,0.05,0.125,0.174,0.23,0.352
green,TS3,dry19,,,0.294,0.466,0.576,0.705,0.908
brown,TS3,dry19,,,0.092,0.295,0.424,0.534,0.706
green,TS3,wet19,,,0.626,0.789,0.861,0.92,0.983
brown,TS3,wet19,,,0.017,0.08,0.139,0.211,0.374
